source_type,source_name,url,date_accessed,key_responsibilities_extracted,tools_mentioned,pain_points_mentioned
job_board_template,Indeed Job Description Template,https://www.indeed.com/hire/job-description/supply-chain-analyst,2025-01-15,"Facility performance to corporate targets; inventory reduction; inventory turns; order-to-delivery results; Plan for Every Part; Pull material replenishment","SAP, Excel",Inventory management; delivery optimization
job_board_template,Workable Template,https://resources.workable.com/supply-chain-analyst-job-description,2025-01-15,"Create processes to gather supply chain data; analyze data for improvements; identify problematic areas; logistics optimization","MS Office, relational databases, ERP systems",Data gathering; identifying inefficiencies
job_board_template,Withe Template,https://withe.co/job-description/supply-chain-analyst,2025-01-15,"Analyzing data for trends; process improvements; risk mitigation; cross-functional collaboration; transportation optimization; inventory management; warehouse management","Excel, Tableau, Power BI",Bottlenecks; inefficiencies in supply chain
job_board_template,TalentLyft Template,https://www.talentlyft.com/template/supply-chain-analyst-job-description,2025-01-15,"Monitor supply chain performance; identify trends and risks; provide recommendations; demand planning; inventory management",ERP systems,Risk identification; supply chain monitoring
career_resource,SCM Talent Group,https://scmtalent.com/supply-chain-analyst-job-description,2025-01-15,"Supervise execution of supply chain operations; evaluate supplier pricing; product mixes; transportation costs; data collection and analysis",Data analysis tools,Cost evaluation; supplier assessment
job_board_template,Heroify Template,https://heroify.co/job-descriptions/supply-chain-analyst-job-description/,2025-01-15,"Analyze and optimize supply chain from procurement to delivery; collect and analyze data; identify trends; collaborate with logistics procurement production",Inventory management systems,Process optimization; cross-department coordination
career_resource,LHH Career Resource,https://www.lhh.com/us/en/insights/job-descriptions/supply-chain-analyst/,2025-01-15,"Analyze data and methods to predict and improve delivery; optimize production supplies transportation; report to supply chain manager/director",ERP systems,Data prediction; method optimization
job_board_template,Glassdoor Template,https://www.glassdoor.com/employers/Job-Descriptions/Supply-Chain-Analyst,2025-01-15,"Collect data and analyze to make improvements; promote top performance; lower costs; research fair prices; negotiate with vendors; monitor stock","Microsoft Excel, databases",Vendor negotiation; cost reduction; stock monitoring
career_resource,Teal Career Paths,https://www.tealhq.com/career-paths/supply-chain-analyst,2025-01-15,"Complex data analysis; identify bottlenecks; suggest solutions; develop forecasting models; predict supply demand trends",Data analytics tools,Bottleneck identification; forecasting
industry_resource,Techneeds Overview,https://www.techneeds.com/2025/03/04/understanding-supply-chain-analyst-job-duties-a-comprehensive-overview/,2025-01-15,"Data collection and analysis; forecasting demand; process optimization; evaluating supplier performance; reporting to stakeholders",Analytics tools,Process optimization; supplier evaluation
job_listings,Indeed Supply Chain Jobs,https://www.indeed.com/q-supply-chain-analyst-jobs.html,2025-01-15,"Analyze inventory trends; generate reports; drive decision-making; continuous improvements; optimize supply chains","SAP, Oracle, NetSuite, Power BI",Inventory optimization; reporting
job_listings,Indeed NYC Jobs,https://www.indeed.com/q-supply-chain-analyst-l-new-york,-ny-jobs.html,2025-01-15,"Track and manage inventory levels; reorder supplies; collaborate with facility administrators; maintain purchasing records; cost control initiatives",Purchasing software systems,Inventory tracking; cost control
job_listings,Indeed Data Analyst Jobs,https://www.indeed.com/q-supply-chain-data-analyst-jobs.html,2025-01-15,"Demand forecasting; implement process improvements; manage predefined processes; collaborate with data engineers; upstream invitation data analysis","SQL, Python, Power BI, Tableau",Forecasting; process improvements
job_listings,LinkedIn Jobs,https://www.linkedin.com/jobs/supply-chain-analyst-jobs,2025-01-15,22000+ jobs available; high demand role,Various,Market demand indicator
job_listings,LinkedIn Entry Level,https://www.linkedin.com/jobs/supply-chain-analyst-entry-level-jobs,2025-01-15,1000+ entry level positions available,Various,Entry pathway exists
job_listings,Built In Jobs,https://builtin.com/jobs/data-analytics/search/supply-chain-analyst,2025-01-15,"Analytical support; optimize logistics systems; monitor inventory; prepare reports; distribution metrics; drive improvements","D365, Power BI, TMS, WMS",Logistics optimization; reporting
job_listings,LinkedIn NYC Jobs,https://www.linkedin.com/jobs/supply-chain-analyst-jobs-new-york,2025-01-15,768 jobs in NYC area,Various,Market demand indicator
job_listings,Indeed Manhattan Jobs,https://www.indeed.com/q-supply-chain-analyst-l-manhattan,-ny-jobs.html,2025-01-15,"Work with cross-functional teams; align inventory levels; demand forecasts; supply chain strategies; procure-to-pay process",ERP systems,Cross-functional alignment
job_listings,Robert Half Jobs,https://www.roberthalf.com/us/en/jobs/all/supply-chain-analyst,2025-01-15,"Inventory forecasting; analyze historical data; optimize stock; coordinate with production logistics; create dashboards","Excel, ERP systems",Forecasting; dashboard creation
industry_resource,GEP Blog Pain Points,https://www.gep.com/blog/technology/supply-chain-pain-points-and-ways-to-resolve-them,2025-01-15,Pain points: weak demand forecasting; lack of visibility; manual processes; inflexible supply chains; time-consuming manual processes,AI/ML tools,Manual processes; visibility issues
industry_resource,ConnectWise CPQ,https://www.connectwise.com/blog/quotes-proposals/addressing-supply-chain-pain-points,2025-01-15,"Manual sourcing of pricing and availability is time consuming and error-prone; gaps in pricing and inventory data; quoting errors",CPQ software,Manual pricing sourcing; data gaps
industry_resource,MHC Pain Points,https://www.mhcautomation.com/blog/biggest-supply-chain-pain-points-and-how-to-solve-them/,2025-01-15,"Order processing manually makes situations worse; employees stretched thin; processing large volumes of changing data; manual process risks",Automation tools,Manual processing; employee strain
industry_resource,GraceBlood Analytics,https://graceblood.com/blog/what-are-the-top-supply-chain-analytics-problems/,2025-01-15,"Lack people-power to translate data into insights; skilled analysts in high demand; limited capacity slows dashboard development; poor inventory visibility",BI tools,Resource constraints; visibility issues
industry_resource,OL-USA Pain Points,https://www.ol-usa.com/addressing-pain-points-in-your-supply-chain/,2025-01-15,"Delays in order processing; inventory stockouts; high transportation costs; excessive manual work",Analytics tools,Manual work; stockouts
industry_resource,PAT Research Pain Points,https://www.predictiveanalyticstoday.com/supply-chain-pain-points-today/,2025-01-15,"Excessive time on non-value adding technology management activities; reactive management; blind spots in extended supply chain; absence of consensus scorecard",Various,Non-value activities; reactive management
industry_resource,Vector Logistics,https://www.withvector.com/blog/pain-points-in-logistics-that-are-solvable-with-software/,2025-01-15,"Labor shortages; data fragmentation; demurrage and detention fees; port congestion",Logistics software,Labor shortages; data fragmentation
industry_resource,Supply Chain Brain,https://www.supplychainbrain.com/blogs/1-think-tank/post/35205-four-remedies-for-helping-supply-chains-cope-with-disruption,2025-01-15,"Reduce manual processes; upgrade to AI ML cloud-based deployment; planners need to be part of strategic solution",AI/ML tools,Manual processes; planning gaps
industry_resource,NetSuite Challenges,https://www.netsuite.com/portal/resource/articles/erp/supply-chain-challenges.shtml,2025-01-15,"Risks from inefficient processes; complexity from globalization; employee retention; loss of institutional knowledge",ERP systems,Process inefficiency; complexity
industry_resource,Ultriva VOC Survey,https://uplandsoftware.com/ultriva/resources/blog/supply-chain-pain-points-in-recent-voice-of-customer-survey/,2025-01-15,"Manual Kanban system not scalable; cards frequently lost; lack of real-time visibility; parts shortages",eKanban,Manual systems; visibility
staffing_resource,4 Corner Resources,https://www.4cornerresources.com/job-descriptions/supply-chain-analyst/,2025-01-15,"Build and maintain dashboards; evaluate vendor performance; demand planning; inventory optimization; root cause analysis; ERP implementation","SAP, Oracle, NetSuite, Tableau, Power BI, SQL, Python",Dashboard creation; vendor evaluation
documentation,Oracle Dashboard Guide,https://docs.oracle.com/cd/E18727_01/doc.121/e12277/T515640T515647.htm,2025-01-15,"Plan Health Summary; Shipment Production Trends; Demand Supply Summary; Scenario Analysis; cost parameters reporting",Oracle APCC,Dashboard usage; planning
job_listings,ZipRecruiter SAP Jobs,https://www.ziprecruiter.com/Jobs/Sap-Supply-Chain-Management,2025-01-15,"Configure and maintain SAP modules; analyze supply chain data; identify trends or inefficiencies; troubleshoot system issues; create purchase orders sales orders","SAP, Oracle, Workday, Epicor",System configuration; data analysis
resume_resource,CV Compiler Examples,https://cvcompiler.com/supply-chain-analyst-resume-examples,2025-01-15,"Developed KPI dashboard improving visibility 50%; analyzed transportation expenses reducing costs 18%; automated data collection saving 150 hours/month","SAP ERP, Oracle SCM, Tableau, Power BI, SQL, Python, VBA",Dashboard development; automation
job_listings,Indeed Oracle ERP Jobs,https://www.indeed.com/q-Oracle-Erp-Supply-Chain-Analyst-jobs.html,2025-01-15,"Gather clean validate data from ERP systems spreadsheets databases; perform in-depth data analysis; design build maintain Power BI dashboards; document data sources","Oracle, Power BI, Excel, SQL, SAP",Data validation; dashboard maintenance
job_listings,Indeed SAP Functional Jobs,https://www.indeed.com/q-sap-supply-chain-functional-analyst-jobs.html,2025-01-15,"Prepare dashboards reports presentations; cross-functional projects; supply chain efficiency; maintain ERP systems","SAP, Oracle, NetSuite, Power BI, Tableau",Reporting; cross-functional work
resume_resource,Teal Resume Guide,https://www.tealhq.com/resume-example/supply-chain-analyst,2025-01-15,"Lead with years experience; showcase SAP Oracle proficiency; quantify achievements; forecasting models improved accuracy 20%","SAP, Oracle, Excel, SQL, Python",Experience verification
job_listings,Dice Tech Jobs,https://www.dice.com/jobs/q-supply+chain+analyst-jobs,2025-01-15,"Data-driven analyst comfortable with multiple systems; interpreting data flows; order management inventory tracking logistics operations; ensuring accuracy across systems","SAP, Salesforce, SQL, Oracle",Multi-system navigation; data interpretation
